"ACT_CUM_75","Adm_Rate","Avg_Cost_Academic_Year","Avg_Cost_Program_Year","Avg_Fac_Sal","City","City_State","COLLEGE","Compl_Repay_1yr_Rate","Compl_Repay_7yr_Rate","CompletionRate_150_4","CompletionRate_150_L4","Control","Highest_Deg","In_state_Tuition","Institution_Name","Lat","Level_of_institution","Locale","Long","Low_Inc_Aid","Main_Campus","Noncom_Repay_1yr_Rate","Noncom_Repay_7yr_Rate","Out_of_state_Tuition","Parent_Ed_HS","Parent_Ed_MS","Parent_Ed_PS","Percent_2OrMore","Percent_AIAN","Percent_Asian","Percent_Black","Percent_Female","Percent_First_Gen","Percent_Full_time_Fac","Percent_Hisp","Percent_Male","Percent_NHPI","Percent_NRA","Percent_Part_time","Percent_UNKN","Percent_Veterans","Percent_White","Predominant_Ugrad_Deg","Religious_Affiliation","RetentionRate_FT4","RetentionRate_FTL4","RetentionRate_PT4","RetentionRate_PTL4","SAT_M_75","SAT_R_75","SAT_W_75","State","TIV_Approval_Date","Top3Majors","Undergrad_Enrollment","URL","Zip"
0,0.0,10241,0,5841,"Florence","Florence_SC",1975,0.373814042,0.552980133,0.0,0.1212,"Public","Associate_degree",4174,"Florence-Darlington_Technical_College",34.243882,2,"Suburb:_Small_(outside_principal_city,_in_urbanized_area_with_population_less_than_100,000)",-79.81469,0.723987956,"Yes",0.117402165,0.355421687,6262,0.451778656,0.031225296,0.516996047,0.0089,0.0091,0.0079,0.4629,0.632318501,0.483003953,0.3344,0.021,0.106055537,4.0E-4,6.0E-4,0.5114,0.085,0.004014721,0.404,"Predominantly_associates-degree_granting","",0.0,0.5486,0.0,0.2977,0,0,0,"SC",1967-08-22,"Art_History,_International_Studies,_Anatomy",4705,"https://WWW.FDTC.EDU",295010548
27,0.7671,46575,0,7644,"Angola","Angola_IN",640,0.684867395,0.816831683,0.5583,0.0,"Private_nonprofit","Graduate_degree",30960,"Trine_University",41.632502,4,"Town:_Distant_(in_urban_cluster_more_than_10_miles_and_up_to_35_miles_from_an_urbanized_area)",-85.008009,0.280839895,"Yes",0.435387674,0.608988764,30960,0.308550186,0.013011152,0.678438662,0.0283,0.0023,0.0096,0.0345,0.391951006,0.321561338,0.3909,0.0379,0.094488189,0.0017,0.0889,0.0362,0.0232,0.0,0.7736,"Predominantly_bachelors-degree_granting","",0.7596,0.0,0.0,0.0,620,580,0,"IN",1965-12-01,"Chemistry,_Japanese,_Early_Childhood_Education",1767,"www.trine.edu",467031764
21,0.4837,35585,0,4912,"Huntsville","Huntsville_AL",32,0.35443038,0.572289157,0.4703,0.0,"Private_nonprofit","Graduate_degree",16750,"Oakwood_University",34.756344,4,"City:_Midsize_(population_of_at_least_100,000_but_less_than_250,000)",-86.652705,0.432234432,"Yes",0.213924051,0.319758673,16750,0.156208278,0.020026702,0.82376502,0.0,0.0041,0.0017,0.8656,0.586080586,0.17623498,0.7759,0.0326,0.042735043,0.0,0.0652,0.0541,0.0262,0.0,0.0047,"Predominantly_bachelors-degree_granting","Seventh_Day_Adventists",0.7418,0.0,0.0,0.0,490,520,0,"AL",1965-01-01,"Hospitality,_Public_Health,_Geography",1719,"www.oakwood.edu",35896
25,0.9773,18576,0,4329,"Kansas_City","Kansas_City_MO",1125,0.628571429,0.0,0.6786,0.0,"Private_nonprofit","Graduate_degree",11700,"Calvary_University",38.839578,4,"City:_Large_(population_of_250,000_or_more)",-94.547927,0.403508772,"Yes",0.410958904,0.0,11700,0.0,0.0,0.653846154,0.0515,0.0103,0.0258,0.1031,0.403508772,0.346153846,0.4242,0.0155,0.271929825,0.0052,0.0,0.3196,0.0,0.0,0.7887,"Predominantly_bachelors-degree_granting","Other_Protestant",0.5185,0.0,0.5,0.0,415,480,518,"MO",1965-12-01,"Physics,_European_History,_Applied_Mathematics",194,"www.calvary.edu",641471341
20,0.3839,21739,0,8038,"Princess_Anne","Princess_Anne_MD",861,0.313323573,0.530474041,0.3644,0.0,"Public","Graduate_degree",7804,"University_of_Maryland_Eastern_Shore",38.207386,4,"Town:_Fringe_(in_urban_cluster_up_to_10_miles_from_an_urbanized_area)",-75.686852,0.433202907,"Yes",0.160032494,0.348684211,17188,0.342239186,0.015267176,0.642493639,0.0664,0.0019,0.0104,0.7568,0.588596982,0.357506361,0.6824,0.0323,0.019564002,3.0E-4,0.0281,0.0775,0.0038,0.0,0.0999,"Predominantly_bachelors-degree_granting","",0.5796,0.0,0.7778,0.0,470,480,450,"MD",1965-12-01,"Psychology,_Genetics,_Philosophy",3162,"www.umes.edu",218531299
0,0.0,12507,0,6191,"Knoxville","Knoxville_TN",2059,0.441981747,0.715083799,0.0,0.189,"Public","Associate_degree",4084,"Pellissippi_State_Community_College",35.948303,2,"Suburb:_Large_(outside_principal_city,_in_urbanized_area_with_population_of_250,000_or_more)",-84.166504,0.551412966,"Yes",0.30115425,0.53371869,15748,0.400321975,0.029782667,0.569895358,0.0367,0.0031,0.0166,0.0739,0.562099264,0.430104642,0.4465,0.0435,0.106388031,0.0014,0.0108,0.3647,1.0E-4,0.004511992,0.8139,"Predominantly_associates-degree_granting","",0.0,0.5403,0.0,0.4104,0,0,0,"TN",1975-05-21,"Chinese,_Marketing,_Korean",7957,"www.pstcc.edu/",379330990
0,0.6037,39226,0,6223,"Omaha","Omaha_NE",1219,0.707792208,0.793706294,0.4,0.0,"Private_nonprofit","Graduate_degree",29954,"College_of_Saint_Mary",41.240028,4,"City:_Large_(population_of_250,000_or_more)",-96.021425,0.425055928,"Yes",0.45945946,0.575342466,29954,0.235,0.025,0.74,0.0202,0.0121,0.0242,0.0806,0.0,0.26,0.9683,0.1304,0.116331096,0.0027,0.0067,0.0363,0.0013,0.0,0.7218,"Predominantly_bachelors-degree_granting","Roman_Catholic",0.7013,0.0,0.0,0.0,0,0,0,"NE",1965-12-01,"Creative_Writing,_Philosophy,_Arabic",744,"WWW.CSM.EDU",68106
0,0.8855,31410,0,6123,"Washington","Washington_DC",370,0.396648045,0.568306011,0.3955,0.0,"Private_nonprofit","Graduate_degree",23250,"Trinity_Washington_University",38.927398,4,"City:_Large_(population_of_250,000_or_more)",-77.004261,0.600933489,"Yes",0.205026455,0.410628019,23250,0.46310832,0.069073783,0.467817896,0.0137,0.0026,0.0111,0.6563,0.978996499,0.532182104,0.25,0.1973,0.054842474,7.0E-4,0.0026,0.3027,0.1022,0.0,0.0137,"Predominantly_bachelors-degree_granting","Roman_Catholic",0.659,0.0,0.381,0.0,0,0,0,"DC",1965-12-01,"English,_Anthropology,_Web_Design",1536,"www.trinitydc.edu",200171094
18,0.3478,38510,0,0,"New_York","New_York_NY",1421,0.0,0.0,0.8696,0.0,"Private_nonprofit","Graduate_degree",22710,"New_York_School_of_Interior_Design",40.768615,4,"City:_Large_(population_of_250,000_or_more)",-73.962404,0.471428571,"Yes",0.0,0.0,22710,0.0,0.0,0.636363636,0.0098,0.0,0.0393,0.0393,0.842857143,0.363636364,0.0631,0.1574,0.157142857,0.0,0.1639,0.6295,0.0328,0.0,0.5574,"Predominantly_certificate-degree_granting","",1.0,0.0,0.0,0.0,553,530,630,"NY",1976-06-01,"Music,_German,_Architecture",305,"www.nysid.edu",10021
24,0.8509,18750,0,9314,"Saint_Cloud","Saint_Cloud_MN",1077,0.748723187,0.923223835,0.4529,0.0,"Public","Graduate_degree",7910,"Saint_Cloud_State_University",45.553227,4,"City:_Small_(population_less_than_100,000)",-94.152657,0.322125363,"Yes",0.558369513,0.710839161,15828,0.252726411,0.014935989,0.732337601,0.0328,0.0032,0.0654,0.0715,0.549813201,0.267662399,0.6618,0.0344,0.051266086,4.0E-4,0.0902,0.1728,0.0071,0.00373599,0.6949,"Predominantly_bachelors-degree_granting","",0.6913,0.0,0.4,0.0,640,530,0,"MN",1965-12-01,"Chemistry,_Education,_Music",10283,"www.stcloudstate.edu",563014498
25,0.7775,41824,0,6019,"Baldwin_City","Baldwin_City_KS",694,0.688435374,0.862003781,0.5507,0.0,"Private_nonprofit","Graduate_degree",28030,"Baker_University",38.777278,4,"Town:_Fringe_(in_urban_cluster_up_to_10_miles_from_an_urbanized_area)",-95.188231,0.262562814,"Yes",0.441064639,0.625,28030,0.34106412,0.021828104,0.637107776,0.0196,0.0158,0.0082,0.0949,0.599246231,0.362892224,0.1287,0.0772,0.173366834,0.0044,0.012,0.3144,0.0519,0.0,0.716,"Predominantly_bachelors-degree_granting","United_Methodist",0.7967,0.0,0.0,0.0,570,620,0,"KS",1965-12-01,"European_History,_German,_Bioethics",1581,"https://www.bakeru.edu",660060065
22,0.6284,41113,0,5603,"Raleigh","Raleigh_NC",1559,0.5,0.770186335,0.4172,0.0,"Private_nonprofit","Bachelors_degree",27080,"William_Peace_University",35.789139,4,"City:_Large_(population_of_250,000_or_more)",-78.637697,0.409317804,"Yes",0.326409496,0.577981651,27080,0.273234201,0.020446097,0.706319703,0.0184,0.0126,0.0155,0.325,0.603993344,0.293680297,0.2328,0.0696,0.071547421,0.0019,0.0019,0.1489,0.0996,0.0,0.4555,"Predominantly_bachelors-degree_granting","Presbyterian_Church_(USA)",0.7009,0.0,1.0,0.0,498,518,0,"NC",1967-11-13,"Italian,_Art_History,_Civil_Engineering",1034,"www.peace.edu",276041194
0,0.0,28053,0,5646,"Dallas","Dallas_TX",2104,0.386992275,0.60945946,0.2492,0.0,"Private_for-profit","Graduate_degree",17664,"South_University-The_Art_Institute_of_Dallas",32.871014,4,"City:_Large_(population_of_250,000_or_more)",-96.76783,0.656954488,"No",0.156818496,0.308683645,17664,0.420435226,0.051853111,0.527711663,0.0394,0.0036,0.0334,0.1778,0.762866865,0.472288337,0.3836,0.2637,0.236707784,0.0203,0.0215,0.2112,0.0967,0.016234227,0.3437,"Predominantly_bachelors-degree_granting","",0.4462,0.0,0.2632,0.0,0,0,0,"TX",2010-10-20,"Digital_Communications_and_Media/Multimedia,_Journalism,_Museum_Studies",838,"www.artinstitutes.edu/dallas/",752315993
0,0.7923,56729,0,7895,"Baltimore","Baltimore_MD",850,0.794212219,0.905956113,0.6186,0.0,"Private_nonprofit","Graduate_degree",43416,"Goucher_College",39.410175,4,"City:_Small_(population_less_than_100,000)",-76.594843,0.280448718,"Yes",0.529411765,0.795811518,43416,0.0,0.0,0.824027073,0.039,0.0,0.0424,0.1321,0.682692308,0.175972927,0.7459,0.0862,0.0,0.0027,0.0267,0.0171,0.052,0.0,0.6188,"Predominantly_bachelors-degree_granting","",0.7866,0.0,0.0,0.0,0,0,0,"MD",1965-12-01,"Geography,_Applied_Mathematics,_Web_Design",1461,"www.goucher.edu",212042794
0,0.878,31266,0,2633,"Washington","Washington_PA",1898,0.470404984,0.60371517,0.0,0.9478,"Private_for-profit","Associate_degree",25000,"Penn_Commercial_Business/Technical_School",40.182387,2,"Suburb:_Large_(outside_principal_city,_in_urbanized_area_with_population_of_250,000_or_more)",-80.238844,0.595,"Yes",0.253333333,0.2625,25000,0.0,0.0,0.476744186,0.0315,0.0,0.0,0.063,0.5975,0.523255814,0.6765,0.0,0.1625,0.0,0.0,0.0,0.0039,0.05,0.9016,"Predominantly_certificate-degree_granting","",0.0,0.7253,0.0,0.0,0,0,0,"PA",1977-09-28,"English,_East_Asian_Studies,_Statistics",254,"www.penncommercial.edu",153016822
19,0.459,19242,0,7952,"Montgomery","Montgomery_AL",5,0.244680851,0.491967872,0.2165,0.0,"Public","Graduate_degree",9220,"Alabama_State_University",32.364317,4,"City:_Midsize_(population_of_at_least_100,000_but_less_than_250,000)",-86.295677,0.614616613,"Yes",0.10538201,0.290640394,16156,0.324609734,0.01882461,0.656565657,0.0111,0.0013,0.0028,0.9337,0.61341853,0.343434343,0.6368,0.0111,0.00798722,4.0E-4,0.0159,0.0727,0.01,0.0,0.0138,"Predominantly_bachelors-degree_granting","",0.6262,0.0,0.3846,0.0,460,460,0,"AL",1965-12-01,"Biology,_Psychology,_Neuroscience",4704,"www.alasu.edu",361040271
0,0.0,9932,0,6916,"Santa_Maria","Santa_Maria_CA",106,0.0,0.0,0.0,0.2807,"Public","Associate_degree",1346,"Allan_Hancock_College",34.943716,2,"City:_Midsize_(population_of_at_least_100,000_but_less_than_250,000)",-120.421144,0.594239883,"Yes",0.0,0.0,6750,0.432777233,0.161923454,0.405299313,0.0342,0.006,0.0396,0.024,0.537003281,0.594700687,0.2853,0.5706,0.100984324,0.0032,0.0023,0.6567,0.0025,0.010572366,0.3175,"Predominantly_associates-degree_granting","",0.0,0.7351,0.0,0.4725,0,0,0,"CA",1967-05-01,"Japanese,_Aviation,_East_Asian_Studies",9445,"www.hancockcollege.edu/",934546399
0,0.0,29373,0,4178,"Virginia_Beach","Virginia_Beach_VA",2610,0.370990237,0.598784195,0.3684,0.0,"Private_for-profit","Bachelors_degree",17592,"The_Art_Institute_of_Virginia_Beach",36.842383,4,"City:_Large_(population_of_250,000_or_more)",-76.131737,0.643502825,"No",0.174181697,0.322850319,17592,0.344107085,0.024159321,0.631733595,0.0044,0.0221,0.0199,0.4503,0.488700565,0.368266406,0.25,0.1015,0.103389831,0.0221,0.0022,0.1832,0.0199,0.012711864,0.3576,"Predominantly_bachelors-degree_granting","",0.5333,0.0,0.4074,0.0,0,0,0,"VA",2010-02-24,"Accounting,_Theatre,_European_History",453,"www.artinstitutes.edu/virginia-beach/",23462
28,0.5983,49380,0,7729,"Clinton","Clinton_SC",1988,0.768181818,0.0,0.625,0.0,"Private_nonprofit","Graduate_degree",37142,"Presbyterian_College",34.465834,4,"Town:_Distant_(in_urban_cluster_more_than_10_miles_and_up_to_35_miles_from_an_urbanized_area)",-81.87448,0.245862884,"Yes",0.569444444,0.0,37142,0.0,0.0,0.802439024,0.0253,0.0021,0.0084,0.1305,0.489361702,0.197560976,1.0,0.0284,0.0,0.0,0.0337,0.0074,0.0074,0.0,0.7642,"Predominantly_bachelors-degree_granting","Presbyterian_Church_(USA)",0.7595,0.0,0.0,0.0,610,600,570,"SC",1965-12-01,"Biology,_English,_Portuguese",950,"https://www.presby.edu",29325
